Question,Option A,Option B,Option C,Option D,Correct Answer
What is the SI unit of force?,Newton,Joule,Watt,Pascal,A
Which of the following is a vector quantity?,Mass,Temperature,Velocity,Time,C
What is the formula for calculating work done?,W = F * d,W = m * g,W = P * t,W = E / t,A
What type of energy does a moving object possess?,Potential energy,Kinetic energy,Thermal energy,Chemical energy,B
Which law of motion states that for every action there is an equal and opposite reaction?,First law,Second law,Third law,Fourth law,C
What is the acceleration due to gravity on Earth (approximately)?,5 m/s²,7 m/s²,9.8 m/s²,12 m/s²,C
Which of these is not a form of energy?,Heat,Light,Force,Sound,C
What is the unit of electrical resistance?,Ohm,Ampere,Volt,Watt,A
What is the process of heat transfer through direct contact called?,Conduction,Convection,Radiation,Evaporation,A
Which of these is not a simple machine?,Lever,Pulley,Wheel and axle,Battery,D
